,Unnamed: 0,id,etat_panneau,irradiance,temp_amb,temp_module,wind_speed,wind_dir,humidity,rain,dc_power,voltage,current,ac_power,PR,eff_module,eff_global,onduleur_state,alarms,stops,aux_power,prod_jour,prod_mois,prod_an,disponibility,p50,p90,revenus,day
26,26,26,sain,740.07,27.41,41.38,0.4,237.1,81.3,1.0,165.21,568.6061919499605,0.2673232932249592,138.08700000000002,0.88,0.1611,0.141768,ok,0,0,37.27,767.15,23014.5,276174.0,0.95,769.02,694.51,76.715,1
27,27,27,sain,671.48,25.86,32.92,3.47,244.3,87.1,0.0,138.99,591.8240501263409,0.225651130628547,132.12,0.8526,0.183,0.1560258,ok,0,0,37.54,660.59,19817.7,237812.4,0.99,682.14,652.38,66.05900000000001,1
28,28,28,panne,749.34,24.22,44.86,4.11,65.4,82.5,0.0,22.03,618.67,0.04,0.882,0.01,0.1665,0.001665,defaut,1,11,56.19,4.88,146.4,1756.8000000000002,0.67,4.92,4.64,0.488,1
29,29,29,panne,847.64,27.78,38.63,3.69,2.4,75.2,0.0,49.24,610.75,0.08,8.13,0.05,0.171,0.00855,defaut,1,11,48.66,40.66,1219.8,14637.6,0.74,43.01,38.83,4.066,1
30,30,30,usé,828.99,27.09,50.08,2.76,241.3,88.0,0.0,148.65,617.11,0.24,127.575,0.85,0.1638,0.13923,ok,0,2,43.58,708.77,21263.1,255157.2,0.82,738.06,686.92,70.877,1
31,31,31,sain,1030.72,18.42,38.83,2.31,315.4,22.8,2.0,215.32,590.86,0.36,202.7,0.98,0.178,0.1744399999999999,ok,0,2,38.43,1013.52,30405.6,364867.2,1.0,1050.67,978.29,101.352,1
32,32,32,usé,851.35,26.99,43.42,1.93,86.8,54.8,0.0,135.62,614.54,0.22,112.365,0.73,0.1728,0.126144,ok,0,2,40.36,624.27,18728.1,224737.2,0.91,632.91,594.66,62.427,1
33,33,33,usé,799.81,28.09,40.12,2.68,34.5,36.2,0.0,134.13,601.4,0.22,110.691,0.77,0.1683,0.129591,ok,0,0,57.17,614.97,18449.1,221389.2,0.9,633.29,606.95,61.49700000000001,1
34,34,34,sain,930.75,27.66,31.03,4.6,145.5,58.8,0.5,183.87,533.57,0.34,169.76,0.91,0.189,0.17199,ok,0,1,37.52,848.8,25464.0,305568.0,0.97,933.09,812.32,84.88,1
35,35,35,sain,915.73,26.85,38.77,0.0,214.7,65.5,2.0,189.53,632.51,0.3,179.88,0.98,0.186,0.18228,ok,0,1,52.6,899.41,26982.3,323787.6,0.97,971.34,865.2,89.941,1
36,36,36,sain,570.87,31.7,53.61,3.2,349.0,83.6,0.0,107.93,648.99,0.17,90.648,0.88,0.1458,0.128304,ok,0,2,60.6,503.58,15107.4,181288.8,0.99,547.98,494.47,50.358,1
37,37,37,sain,853.36,30.18,59.28,2.6,203.3,52.6,0.0,167.02,570.42,0.29,138.14100000000002,0.9,0.1458,0.13122,ok,0,0,48.79,767.44,23023.2,276278.4,0.99,774.8,733.02,76.74400000000001,1
38,38,38,sain,558.93,19.58,43.74,1.25,35.1,59.7,0.0,113.41,596.72,0.19,93.051,0.92,0.1665,0.15318,ok,0,1,56.28,516.93,15507.899999999998,186094.8,0.98,557.54,513.97,51.693,1
39,39,39,usé,924.3,28.76,43.54,1.62,231.5,40.1,0.0,143.26,601.18,0.24,121.54500000000002,0.73,0.1638,0.119574,ok,1,2,34.98,675.27,20258.1,243097.2,0.92,722.87,654.16,67.527,1
40,40,40,sain,798.88,20.24,38.53,2.76,15.8,31.6,2.0,154.89,596.19,0.26,147.18,0.92,0.174,0.16008,ok,0,2,56.1,735.9,22077.0,264924.0,0.96,797.99,728.28,73.59,1
41,41,41,sain,580.76,28.13,50.22,0.0,321.4,53.0,0.0,129.99,595.76,0.22,108.171,1.0,0.153,0.153,ok,0,1,54.78,600.97,18029.1,216349.2,0.97,621.92,549.17,60.09700000000001,1
42,42,42,sain,857.72,25.96,50.97,2.43,280.7,38.0,0.5,163.62,597.43,0.27,134.019,0.87,0.1638,0.142506,ok,0,0,54.22,744.55,22336.5,268038.0,1.0,772.98,743.53,74.455,1
43,43,43,usé,617.36,16.62,27.47,2.56,77.4,39.3,0.0,86.53,589.21,0.15,79.26,0.64,0.163,0.10432,ok,1,2,56.61,396.3,11889.0,142668.0,0.81,416.93,382.04,39.63,1
44,44,44,sain,907.55,26.89,36.76,1.84,139.9,57.0,0.5,179.11,593.94,0.3,170.91,0.94,0.184,0.1729599999999999,ok,0,1,57.42,854.54,25636.2,307634.4,0.99,861.93,837.67,85.45400000000001,1
45,45,45,sain,1018.5,25.64,33.06,1.77,31.3,28.1,0.5,204.67,589.09,0.35,184.52,0.91,0.202,0.18382,ok,0,0,44.46,922.61,27678.3,332139.6,0.96,954.22,877.0,92.261,1
46,46,46,panne,515.65,28.61,36.79,5.85,210.0,73.1,0.0,12.61,587.14,0.02,1.05,0.01,0.186,0.00186,defaut,1,14,60.7,5.25,157.5,1890.0,0.67,5.52,4.73,0.525,1
47,47,47,sain,850.67,25.63,47.61,5.13,308.8,69.3,0.0,165.25,601.58,0.27,135.144,0.88,0.1683,0.148104,ok,0,0,69.62,750.8,22524.0,270288.0,0.96,790.26,693.39,75.08,1
48,48,48,panne,753.84,16.46,31.93,3.55,354.9,73.1,2.0,30.28,620.15,0.05,2.7,0.02,0.186,0.00372,defaut,1,8,47.57,13.5,405.0,4860.0,0.65,14.6,12.34,1.35,1
49,49,49,sain,704.69,23.64,33.07,3.71,345.4,63.0,0.0,137.22,592.95,0.23,123.83,0.88,0.171,0.15048,ok,0,1,50.28,619.15,18574.5,222894.0,0.97,664.56,618.06,61.915,1
50,50,50,sain,907.69,31.37,46.12,2.46,312.6,61.2,0.0,187.61,584.48,0.32,160.614,0.98,0.1566,0.153468,ok,0,1,67.28,892.31,26769.3,321231.6,0.96,898.84,809.06,89.231,1
51,51,51,usé,845.2,26.68,39.32,3.26,280.3,43.9,0.0,124.12,603.51,0.21,118.95,0.7,0.179,0.1253,ok,1,2,31.37,594.77,17843.1,214117.2,0.86,607.39,565.97,59.477,1
52,52,52,sain,736.96,26.05,38.49,6.48,359.8,75.2,1.0,154.87,574.94,0.27,146.29,0.99,0.168,0.16632,ok,0,2,54.43,731.45,21943.5,263322.0,0.99,796.17,660.15,73.14500000000001,1
53,53,53,panne,857.77,25.18,40.18,4.02,184.8,26.4,0.0,28.67,569.41,0.05,0.108,0.0,0.1566,0.0,defaut,1,6,43.9,0.58,17.4,208.8,0.66,0.62,0.55,0.0579999999999999,1
54,54,54,sain,959.39,32.36,36.26,3.66,292.7,71.9,0.0,199.83,583.05,0.34,184.72,0.96,0.184,0.17664,ok,0,2,51.73,923.59,27707.7,332492.4,0.98,962.32,866.44,92.359,1
55,55,55,usé,833.08,18.2,32.47,3.24,57.3,28.1,0.0,113.07,588.28,0.19,101.79,0.61,0.187,0.1140699999999999,ok,0,0,50.96,508.97,15269.1,183229.2,0.8,545.18,472.94,50.897000000000006,1
56,56,56,panne,595.3,16.5,29.66,1.49,155.2,51.7,0.0,20.86,591.77,0.04,2.31,0.02,0.179,0.00358,defaut,1,15,58.18,11.56,346.8,4161.6,0.7,12.27,10.52,1.156,1
57,57,57,panne,893.7,27.91,36.45,4.02,63.0,55.2,0.0,32.61,584.78,0.06,3.52,0.02,0.182,0.00364,defaut,1,17,50.28,17.58,527.4,6328.799999999999,0.74,19.09,16.65,1.758,1
58,58,58,sain,907.79,17.66,29.73,4.08,286.8,73.4,0.0,177.53,628.84,0.28,165.71,0.91,0.19,0.1729,ok,0,2,48.47,828.57,24857.1,298285.2,0.98,877.36,805.04,82.85700000000001,1
59,59,59,sain,716.6,25.54,42.21,3.28,130.0,64.6,0.0,136.83,589.46,0.23,115.164,0.89,0.1611,0.143379,ok,0,2,50.25,639.81,19194.3,230331.6,0.96,688.33,606.2,63.981,1
60,60,60,sain,818.59,16.67,32.88,3.51,356.5,75.0,0.0,167.41,598.51,0.28,158.67,0.97,0.181,0.1755699999999999,ok,0,1,43.23,793.36,23800.8,285609.6,0.98,836.11,747.03,79.33600000000001,1
61,61,61,sain,776.54,24.01,40.4,3.23,326.8,26.9,0.0,141.1,576.08,0.24,120.555,0.86,0.1485,0.12771,ok,0,0,58.54,669.73,20091.9,241102.8,0.99,697.04,640.85,66.973,1
62,62,62,sain,843.76,34.38,59.28,1.35,189.8,30.5,0.0,163.37,574.37,0.28,138.231,0.91,0.1583999999999999,0.144144,ok,0,2,43.34,767.95,23038.5,276462.0,0.99,769.73,707.99,76.795,1
63,63,63,sain,1000.86,28.5,50.26,2.47,80.8,45.4,0.0,196.84,609.82,0.32,163.638,0.91,0.1683,0.153153,ok,0,0,47.5,909.12,27273.6,327283.19999999995,1.0,967.88,842.69,90.912,1
64,64,64,sain,936.89,29.52,42.39,3.27,310.7,63.0,0.0,195.18,586.56,0.33,161.43300000000002,0.96,0.1449,0.139104,ok,0,1,51.9,896.83,26904.9,322858.80000000005,0.95,901.25,830.27,89.683,1
65,65,65,usé,636.6,22.33,42.95,0.05,163.1,24.1,0.0,108.15,585.5,0.18,88.938,0.78,0.1602,0.124956,ok,0,1,59.48,494.09,14822.7,177872.4,0.9,514.32,449.84,49.409,1
66,66,66,sain,799.51,26.65,41.27,2.56,135.6,48.2,0.0,147.94,619.09,0.24,125.766,0.87,0.1692,0.147204,ok,0,0,33.13,698.71,20961.300000000003,251535.60000000003,0.99,760.06,635.88,69.87100000000001,1
67,67,67,sain,456.61,24.08,41.2,2.78,179.8,35.2,2.0,83.2,636.78,0.13,71.47800000000001,0.87,0.171,0.14877,ok,0,1,52.82,397.11,11913.3,142959.6,1.0,427.46,378.13,39.711000000000006,1
68,68,68,sain,676.03,29.41,50.97,3.73,98.6,63.9,2.0,136.66,626.41,0.22,115.938,0.95,0.1701,0.161595,ok,0,0,40.62,644.08,19322.4,231868.8,0.96,700.96,597.5,64.408,1
69,69,69,usé,650.64,29.17,44.12,4.27,191.2,44.0,0.0,127.55,606.22,0.21,108.432,0.93,0.1908,0.177444,ok,1,0,52.62,602.38,18071.4,216856.8,0.87,630.23,583.26,60.238,1
70,70,70,panne,875.5,29.12,37.68,1.83,262.1,40.2,0.0,27.58,574.46,0.05,0.24,0.0,0.173,0.0,defaut,1,8,64.96,1.21,36.3,435.6,0.62,1.29,1.15,0.121,1
71,71,71,sain,583.52,19.73,38.6,2.11,316.5,35.0,0.0,117.51,623.12,0.19,105.93,0.91,0.199,0.18109,ok,0,0,36.24,529.63,15888.9,190666.8,0.96,547.13,478.91,52.963,1
72,72,72,sain,740.07,24.25,46.07,3.46,108.9,76.3,0.0,145.68,585.29,0.25,124.254,0.93,0.1692,0.157356,ok,0,2,44.93,690.29,20708.7,248504.4,0.95,743.54,678.08,69.029,1
73,73,73,sain,578.42,21.48,44.55,1.81,176.4,57.3,0.0,119.14,602.64,0.2,97.722,0.94,0.1656,0.155664,ok,0,1,53.43,542.88,16286.4,195436.8,0.98,589.63,535.86,54.288,1
74,74,74,usé,705.72,18.8,33.21,4.94,16.5,52.3,0.0,115.03,570.87,0.2,106.75,0.76,0.169,0.12844,ok,0,2,33.36,533.76,16012.8,192153.6,0.84,559.0,485.1,53.376000000000005,1
75,75,75,sain,879.2,21.77,38.63,1.1,249.9,47.1,0.0,177.67,615.35,0.29,160.46,0.91,0.177,0.16107,ok,0,2,48.07,802.28,24068.4,288820.8,0.97,818.77,793.54,80.22800000000001,1
76,76,76,sain,952.61,25.69,48.09,4.96,249.6,84.4,1.0,188.34,625.9,0.3,155.709,0.91,0.144,0.13104,ok,0,1,52.61,865.06,25951.8,311421.6,1.0,915.3,784.05,86.506,1
77,77,77,sain,1009.23,25.76,45.37,2.93,90.4,87.5,0.0,202.35,629.46,0.32,174.681,0.96,0.1665,0.15984,ok,0,0,43.19,970.45,29113.5,349362.0,0.98,1000.34,938.77,97.04500000000002,1
78,78,78,sain,834.63,20.68,30.25,1.83,110.2,42.5,0.0,172.34,576.3,0.3,160.09,0.96,0.164,0.15744,ok,0,0,35.58,800.44,24013.2,288158.4,0.99,834.81,781.88,80.04400000000001,1
79,79,79,panne,801.46,30.58,38.95,1.41,193.5,54.4,0.5,42.49,619.1,0.07,4.56,0.03,0.186,0.00558,defaut,1,6,42.98,22.8,684.0,8208.0,0.72,24.33,21.02,2.28,1
80,80,80,sain,709.9,21.61,34.04,0.84,87.1,44.2,0.0,144.47,620.93,0.23,136.74,0.96,0.17,0.1632,ok,0,0,37.28,683.7,20511.0,246132.0,0.95,722.93,615.4,68.37,1
81,81,81,usé,795.87,26.4,40.37,2.8,174.1,76.7,0.0,142.38,598.57,0.24,123.327,0.86,0.1467,0.126162,ok,1,0,76.0,685.16,20554.8,246657.6,0.91,695.18,634.77,68.516,1
82,82,82,sain,470.74,27.21,48.53,0.51,136.5,51.9,0.0,87.95,586.44,0.15,72.414,0.85,0.1737,0.147645,ok,0,0,59.64,402.28,12068.4,144820.8,0.96,410.62,384.89,40.228,1
83,83,83,sain,851.98,20.99,42.16,3.66,160.9,57.8,2.0,172.42,597.95,0.29,142.53300000000002,0.93,0.1782,0.165726,ok,0,1,48.84,791.85,23755.5,285066.0,0.97,810.72,730.33,79.185,1
84,84,84,panne,595.46,29.64,33.89,4.08,103.4,63.1,1.0,24.73,615.2,0.04,0.8932592374274162,0.03,0.185,0.0055499999999999,defaut,1,12,42.17,15.21,456.3,5475.6,0.7,16.32,15.04,1.521,1
85,85,85,sain,515.89,32.72,49.96,1.06,102.0,56.7,0.0,106.46,634.67,0.17,87.399,0.94,0.1701,0.1598939999999999,ok,0,1,48.93,485.55,14566.5,174798.0,0.96,503.14,451.22,48.55500000000001,1
86,86,86,sain,707.51,17.64,38.47,5.17,162.1,66.5,0.0,153.6,606.78,0.25,139.17,0.98,0.168,0.16464,ok,0,1,49.48,695.85,20875.5,250506.0,1.0,760.65,626.44,69.58500000000001,1
87,87,87,panne,919.77,23.17,42.61,1.0,198.1,26.8,0.0,48.36,625.25,0.08,7.812,0.05,0.1683,0.008415,defaut,1,14,60.24,43.38,1301.4,15616.8,0.7,45.08,41.14,4.338,1
88,88,88,sain,824.39,13.2,20.19,4.48,204.2,65.0,0.0,178.8,612.73,0.29,166.35,1.0,0.172,0.172,ok,0,1,51.59,831.73,24951.9,299422.80000000005,0.97,842.59,753.7,83.173,1
89,89,89,sain,797.63,19.82,33.43,1.91,170.7,28.2,2.0,140.29,577.78,0.24,34.490469381765415,0.85,0.188,0.1598,ok,1,1,54.78,674.3,20229.0,242748.0,0.98,726.57,619.29,67.42999999999999,1
90,90,90,sain,783.75,18.79,39.16,4.24,46.7,83.1,1.0,151.01,614.01,0.25,143.12,0.91,0.18,0.1638,ok,0,2,32.17,715.6,21468.0,257616.0,0.95,776.29,714.84,71.56,1
91,91,91,usé,791.73,26.22,47.52,2.65,321.3,42.5,0.0,144.08,596.45,0.24,121.05,0.85,0.1737,0.147645,ok,0,1,59.09,672.49,20174.7,242096.4,0.93,737.82,662.12,67.24900000000001,1
92,92,92,panne,676.38,29.38,42.23,5.89,255.1,55.6,0.5,32.38,609.51,0.05,3.447,0.03,0.1575,0.004725,defaut,1,14,55.49,19.15,574.5,6894.0,0.62,20.17,17.92,1.915,1
93,93,93,usé,724.98,31.76,41.31,0.57,206.7,74.6,0.5,123.77,630.69,0.2,103.455,0.79,0.1548,0.122292,ok,0,1,59.32,574.75,17242.5,206910.0,0.95,627.14,536.01,57.475,1
94,94,94,sain,919.69,21.2,33.96,5.72,51.3,25.5,0.0,163.11,572.67,0.28,29.866912857443594,0.86,0.187,0.16082,ok,1,2,56.14,786.49,23594.7,283136.4,0.96,843.85,766.17,78.649,1
95,95,95,sain,902.25,31.8,42.01,3.17,149.0,70.3,0.0,171.22,601.4,0.28,141.489,0.87,0.1512,0.131544,ok,0,2,32.59,786.03,23580.9,282970.8,0.96,814.7,737.94,78.60300000000001,1
96,96,96,usé,747.35,27.84,46.3,4.33,283.2,71.8,0.5,146.26,621.17,0.24,120.537,0.9,0.1674,0.15066,ok,0,1,43.6,669.65,20089.5,241074.0,0.94,723.01,604.51,66.965,1
97,97,97,sain,917.79,22.52,28.68,1.5,313.1,41.4,1.0,183.45,585.63,0.31,170.21,0.93,0.19,0.1767,ok,0,2,50.04,851.07,25532.1,306385.2,0.99,890.56,806.64,85.10700000000001,1
98,98,98,usé,919.7,29.42,43.14,1.88,266.4,75.9,0.5,129.35,618.49,0.21,105.21,0.64,0.1737,0.111168,ok,0,1,36.98,584.5,17535.0,210420.0,0.94,611.25,552.63,58.45,1
99,99,99,panne,966.32,24.9,37.4,0.45,187.2,27.0,0.0,41.26,616.71,0.07,4.98,0.03,0.193,0.00579,defaut,1,14,42.98,24.89,746.7,8960.400000000001,0.75,27.24,23.5,2.4890000000000003,1
100,100,100,sain,542.18,18.14,32.33,1.37,106.6,29.8,0.0,119.3,578.31,0.21,108.09,1.0,0.18,0.18,ok,0,0,55.33,540.43,16212.899999999998,194554.8,0.95,555.41,504.03,54.043,1
101,101,101,usé,547.71,17.85,31.98,2.87,25.8,74.1,0.0,86.1,631.56,0.14,82.3,0.75,0.197,0.14775,ok,0,0,48.83,411.49,12344.7,148136.40000000002,0.82,451.81,381.96,41.149,1
102,102,102,sain,918.98,18.28,30.9,6.07,298.1,88.3,0.0,194.59,598.4,0.33,183.42,1.0,0.188,0.188,ok,0,1,58.22,917.09,27512.7,330152.4,0.96,966.14,903.08,91.709,1
103,103,103,sain,769.72,24.15,33.38,4.6,268.2,86.9,0.0,162.55,590.35,0.28,148.42,0.96,0.175,0.1679999999999999,ok,0,0,57.3,742.12,22263.6,267163.19999999995,0.97,772.53,696.68,74.212,1
104,104,104,sain,762.96,23.02,38.27,2.62,36.4,66.6,1.0,154.16,616.9,0.25,140.79,0.92,0.188,0.17296,ok,0,2,57.66,703.93,21117.9,253414.8,0.98,712.84,650.8,70.393,1
105,105,105,sain,624.19,21.29,31.94,4.4,101.5,62.9,0.0,126.43,606.64,0.21,114.93,0.92,0.168,0.15456,ok,0,1,45.69,574.64,17239.2,206870.4,0.97,617.69,561.31,57.464,1
106,106,106,panne,767.78,18.18,24.5,1.19,281.9,49.3,0.0,39.68,586.46,0.07,6.19,0.04,0.177,0.0070799999999999,defaut,1,18,58.38,30.93,927.9,11134.8,0.62,32.56,30.17,3.093,1
107,107,107,sain,829.46,34.4,44.77,2.01,139.7,63.4,0.0,164.1,577.51,0.28,134.55,0.9,0.1539,0.13851,ok,0,1,52.35,747.49,22424.7,269096.4,0.98,812.72,716.08,74.74900000000001,1
108,108,108,sain,740.69,25.06,42.62,4.8,322.3,85.3,0.5,143.88,614.3,0.23,116.973,0.88,0.1656,0.145728,ok,0,2,52.27,649.84,19495.2,233942.4,0.97,705.54,600.03,64.98400000000001,1
109,109,109,sain,780.71,28.77,46.21,0.75,156.8,62.9,0.0,144.46,587.86,0.25,125.964,0.9,0.153,0.1377,ok,0,1,61.7,699.78,20993.4,251920.8,0.97,748.81,645.68,69.978,1
110,110,110,sain,692.71,19.99,39.52,4.28,142.0,87.0,0.0,131.02,562.0,0.23,122.07,0.88,0.192,0.16896,ok,0,0,46.75,610.33,18309.9,219718.8,1.0,660.82,603.23,61.03300000000001,1
111,111,111,sain,990.34,12.33,27.19,0.52,108.8,41.6,0.0,205.74,587.39,0.35,195.18,0.99,0.195,0.19305,ok,0,2,52.48,975.9,29277.0,351324.0,0.97,1041.69,936.3,97.59,1
112,112,112,sain,788.01,19.44,29.41,4.44,234.4,50.3,0.0,151.22,615.88,0.25,141.13,0.9,0.188,0.1692,ok,0,0,49.04,705.66,21169.8,254037.6,0.96,740.78,640.0,70.566,1
113,113,113,sain,1023.26,25.55,49.68,5.3,44.7,65.7,0.0,204.04,602.93,0.34,176.697,0.96,0.1728,0.165888,ok,0,0,63.42,981.65,29449.5,353394.0,0.97,990.91,927.18,98.165,1
114,114,114,sain,932.86,27.33,36.12,2.78,7.8,31.7,0.0,173.59,616.18,0.28,158.86,0.85,0.181,0.15385,ok,0,0,51.32,794.3,23829.0,285948.0,0.97,869.05,777.9,79.43,1
115,115,115,usé,601.97,30.5,52.13,2.56,174.8,49.4,0.0,105.05,573.8,0.18,88.839,0.82,0.1611,0.132102,ok,1,1,44.61,493.56,14806.8,177681.59999999998,0.9,514.97,454.2,49.356,1
116,116,116,sain,701.38,42.64,64.4,4.92,52.5,56.9,0.0,154.64,591.2,0.26,128.169,1.0,0.1521,0.1521,ok,0,1,57.06,712.05,21361.5,256338.0,0.99,720.41,653.5,71.205,1
117,117,117,sain,735.2,28.3,38.82,3.78,166.8,79.9,0.0,149.11,622.99,0.24,135.74,0.92,0.189,0.17388,ok,0,0,52.42,678.68,20360.4,244324.8,0.96,739.4,654.81,67.868,1
118,118,118,sain,721.86,22.71,27.61,3.78,121.6,24.3,0.0,148.73,590.81,0.25,142.69,0.99,0.174,0.17226,ok,0,2,59.03,713.44,21403.2,256838.4,0.98,728.51,665.35,71.34400000000001,1
119,119,119,sain,784.38,24.63,49.29,3.09,342.4,81.9,0.0,154.42,576.92,0.27,132.714,0.94,0.1485,0.13959,ok,0,1,62.49,737.31,22119.3,265431.6,0.96,777.39,688.58,73.731,1
120,120,120,usé,614.62,26.25,47.08,4.2,358.4,55.4,0.5,113.33,619.16,0.18,97.866,0.88,0.1683,0.148104,ok,1,1,59.0,543.68,16310.399999999998,195724.8,0.81,564.53,535.73,54.368,1
